id,location_id,sales_id,features_id,assessorID,legalDescription,ownerOccupied,yearBuilt,zoning,propertyType,taxAssessment,propertyTaxes,subdivision
"7034-FM-2673,-Canyon-Lake,-TX-78133",10,5,8,78-0939-0028-00,"A-939 SUR-804 H LUEHLFING, ACRES 3.822",1.0,2003.0,unknown,Single Family,"{'2022': {'value': 464320, 'land': 281310, 'improvements': 183010}, '2023': {'value': 695500, 'land': 375080, 'improvements': 320420}}",{'2022': {'total': 3834}},H LUEHLFING
"5509-Roanwood,-San-Antonio,-TX-78244",11,0,9,Uknown,unknown,0.0,1985.0,unknown,Duplex-Triplex,{},unknown,unknown
"5528-Lochmoor,-San-Antonio,-TX-78244",12,0,10,Uknown,unknown,0.0,0.0,unknown,Single Family,{},unknown,unknown
"5523-Lochmoor,-Apt-2,-San-Antonio,-TX-78244",13,0,11,Uknown,unknown,0.0,1984.0,unknown,Duplex-Triplex,{},unknown,unknown
"5721-Lochmoor,-San-Antonio,-TX-78244",14,0,12,Uknown,unknown,0.0,0.0,unknown,Single Family,{},unknown,unknown
"5519-Lochmoor,-Apt-2,-San-Antonio,-TX-78244",15,0,13,Uknown,unknown,0.0,1984.0,unknown,Duplex-Triplex,{},unknown,unknown
"5527-Lochmoor,---2,-San-Antonio,-TX-78244",16,0,0,Uknown,unknown,0.0,0.0,unknown,unknown,{},unknown,unknown
"5520-Lochmoor,-San-Antonio,-TX-78244",17,0,14,Uknown,unknown,0.0,0.0,unknown,Single Family,{},unknown,unknown
"5512-Lochmoor,-San-Antonio,-TX-78244",18,0,15,Uknown,unknown,0.0,1985.0,unknown,Duplex-Triplex,{},unknown,unknown
"5516-Lochmoor,-San-Antonio,-TX-78244",19,0,16,Uknown,unknown,0.0,0.0,unknown,Apartment,{},unknown,unknown
"5511-Lochmoor,-Apt-2,-San-Antonio,-TX-78244",20,0,0,Uknown,unknown,0.0,0.0,unknown,unknown,{},unknown,unknown
"5705-Lochmoor,-San-Antonio,-TX-78244",21,0,0,Uknown,unknown,0.0,0.0,unknown,unknown,{},unknown,unknown
"5315-Shadow-Lake-Dr,-San-Antonio,-TX-78244",22,6,17,05076-110-0140,CB 5076A BLK 10 LOT 14,1.0,1972.0,unknown,Single Family,"{'2018': {'value': 94644, 'land': 17870, 'improvements': 79870}, '2019': {'value': 104108, 'land': 22330, 'improvements': 82740}, '2020': {'value': 110380, 'land': 22330, 'improvements': 88050}, '2021': {'value': 121418, 'land': 41490, 'improvements': 87260}, '2022': {'value': 153680, 'land': 45600, 'improvements': 108080}, '2023': {'value': 175770, 'land': 54720, 'improvements': 121050}}","{'2019': {'total': 1966}, '2021': {'total': 2261}, '2022': {'total': 2187}, '2023': {'total': 1598}}",CONV A/S CODE
"7020-Atherton,-San-Antonio,-TX-78244",23,0,18,Uknown,unknown,0.0,1985.0,unknown,Duplex-Triplex,{},unknown,unknown
"7002-Atherton,-San-Antonio,-TX-78244",24,0,0,Uknown,unknown,0.0,0.0,unknown,unknown,{},unknown,unknown
"5713-Lochmoor,-San-Antonio,-TX-78244",25,0,0,Uknown,unknown,0.0,0.0,unknown,unknown,{},unknown,unknown
"5223-Lakebend-East-Dr,-San-Antonio,-TX-78244",26,7,19,05080-505-0010,CB 5080E BLK 5 LOT 1 WOODLAKE PARK UT-1,0.0,1986.0,unknown,Single Family,"{'2018': {'value': 125910, 'land': 18290, 'improvements': 107620}, '2020': {'value': 141350, 'land': 22860, 'improvements': 118490}, '2021': {'value': 160720, 'land': 43440, 'improvements': 117280}, '2022': {'value': 189740, 'land': 47770, 'improvements': 141970}, '2023': {'value': 215950, 'land': 57240, 'improvements': 158710}}","{'2019': {'total': 2970}, '2021': {'total': 3411}, '2022': {'total': 3929}, '2023': {'total': 4069}}",WOODLAKE PARK
"5319-Lakebend-East-Dr,-San-Antonio,-TX-78244",27,8,20,05080-506-0050,CB 5080E BLK 6 LOT 5 WOODLAKE PARK UT-1,1.0,1984.0,unknown,Single Family,"{'2018': {'value': 143840, 'land': 17200, 'improvements': 126640}, '2019': {'value': 152640, 'land': 21510, 'improvements': 131130}, '2020': {'value': 161050, 'land': 21510, 'improvements': 139540}, '2021': {'value': 175790, 'land': 37570, 'improvements': 138220}, '2022': {'value': 209330, 'land': 41300, 'improvements': 168030}, '2023': {'value': 237570, 'land': 49530, 'improvements': 188040}}","{'2019': {'total': 3377}, '2021': {'total': 3729}, '2022': {'total': 3388}, '2023': {'total': 2788}}",WOODLAKE PARK
